"site","Latitude","Longitude","o3","year"
"Glazebury",53.46008,-2.472056,40.287474,2000
"Harwell",51.571078,-1.325283,51.27156,2000
"London Haringey",51.58603,-0.126486,33.074876,2000
"London Hillingdon",51.49633,-0.460861,21.940952,2000
"London Hackney",51.55877,-0.056592,29.541601,2000
"High Muffles",54.334497,-0.80882,55.467744,2000
"Hull Centre",53.74479,-0.338322,36.642001,2000
"London N. Kensington",51.52105,-0.213492,33.365076,2000
"Ladybower",53.40337,-1.752006,52.740484,2000
"Leamington Spa",52.28881,-1.533119,40.923662,2000
"Leeds Centre",53.80378,-1.546472,33.750551,2000
"Leicester Centre",52.631348,-1.133006,34.970318,2000
"Lullington Heath",50.7937,0.18125,57.63398,2000
"Liverpool Centre",53.40845,-2.980249,37.525703,2000
"London Eltham",51.45258,0.070766,36.852805,2000
"London Lewisham",51.44541,-0.020139,21.446074,2000
"Manchester Piccadilly",53.48152,-2.237881,21.255304,2000
"Manchester South",53.369026,-2.24328,34.35239,2000
"Middlesbrough",54.569297,-1.220874,45.553466,2000
"London Marylebone Road",51.52253,-0.154611,13.233322,2000
"Newcastle Centre",54.97825,-1.610528,38.737806,2000
"Norwich Centre",52.63203,1.295019,45.220054,2000
"Nottingham Centre",52.95473,-1.146447,28.530834,2000
"Narberth",51.782616,-4.69237,67.09088,2000
"Plymouth Centre",50.37167,-4.142361,45.520988,2000
"Preston",53.76559,-2.680353,37.390112,2000
"Port Talbot",51.5798,-3.76169,52.557815,2000
"Reading",51.45352,-0.95518,37.025091,2000
"Redcar",54.610735,-1.0733,50.345995,2000
"Rochester Stoke",51.45617,0.634889,47.186282,2000
"Rotherham Centre",53.43186,-1.354444,33.995383,2000
"Southend-on-Sea",51.544166,0.678331,35.02411,2000
"Sheffield Centre",53.37772,-1.473306,34.655383,2000
"Sibton",52.2944,1.463497,48.231783,2000
"London Southwark",51.49055,-0.096667,30.346765,2000
"Somerton",51.03572,-2.735253,59.911747,2000
"Southampton Centre",50.908173,-1.395757,33.167387,2000
"Stoke-on-Trent Centre",53.02821,-2.175133,39.612383,2000
"London Sutton",51.36789,-0.165489,35.347786,2000
"Swansea",51.62114,-3.943329,44.626817,2000
"London Teddington",51.42099,-0.339647,43.104076,2000
"Thurrock",51.47707,0.317969,37.940748,2000
"Wirral Tranmere",53.37287,-3.022722,43.084154,2000
"London Wandsworth",51.45696,-0.191164,24.749053,2000
"Sandwell West Bromwich",52.52062,-1.995556,41.598151,2000
"Wicken Fen",52.2985,0.290917,43.309438,2000
"Wolverhampton Centre",52.58818,-2.129008,37.508519,2000
"Yarner Wood",50.5976,-3.71651,57.118611,2000
"Aston Hill",52.50385,-3.034178,62.634133,2001
"Barnsley Gawber",53.56292,-1.510436,44.618954,2001
"London Bexley",51.46603,0.184806,37.939669,2001
"Birmingham East",52.49763,-1.831498,36.108637,2001
"Birmingham Centre",52.479724,-1.908078,36.194127,2001
"Blackpool",53.79046,-3.029283,47.691024,2001
"Bolton",53.57232,-2.439583,38.70657,2001
"Bottesford",52.93028,-0.814722,45.433889,2001
"Bradford Centre",53.79339,-1.748694,30.264549,2001
"London Brent",51.589769,-0.276223,37.181713,2001
"Bristol Centre",51.45718,-2.585622,37.81247,2001
"Bury Roadside",53.53911,-2.289611,17.788491,2001
"Cardiff Centre",51.48178,-3.17625,35.70231,2001
"London Bloomsbury",51.52229,-0.125889,23.396621,2001
"Coventry Memorial Park",52.394399,-1.519612,42.074234,2001
"Salford Eccles",53.48481,-2.334139,30.242281,2001
"Exeter Roadside",50.725083,-3.532465,33.621019,2001
"Great Dun Fell",54.684233,-2.450799,63.990115,2001
"Glazebury",53.46008,-2.472056,35.693153,2001
"Harwell",51.571078,-1.325283,49.407809,2001
"London Haringey",51.58603,-0.126486,33.838687,2001
"London Hillingdon",51.49633,-0.460861,25.593313,2001
"London Hackney",51.55877,-0.056592,28.889506,2001
"High Muffles",54.334497,-0.80882,54.18174,2001
"London Westminster",51.49467,-0.131931,23.940428,2001
